References,Value,Mfr,Mfr P/N,Supplier 1,Supplier 1 P/N,Quantity
"C2, C3",1uF,Samsung Electro-Mechanics,1276-1066-1-ND,DigiKey,1276-1066-1-ND,2
C1,0.1uF,Samsung Electro-Mechanics,CL21B104KBCNNNC,DigiKey,1276-1003-1-ND,1
"R2, R3",10k,Stackpole Electronics Inc,RMCF0805FT10K0,DigiKey,RMCF0805FT10K0CT-ND,2
R1,4.7,YAGEO,RC0805FR-074R7L,DigiKey,311-4.70CRCT-ND,1
U1,SGP41-D-R4,Sensirion AG,SGP41-D-R4,DigiKey,1649-SGP41-D-R4CT-ND,1
U2,SHT40-AD1B-R3,SHT40-AD1B-R3,SHT40-AD1B-R3,DigiKey,1649-SHT40-AD1B-R3CT-ND,1
J1,Conn_01x04_Pin,Molex,530480410,DigiKey,WM1744-ND,1
J1-1,Conn_01x04_RCPT,Molex,510210400,DigiKey,WM1722-ND,1
J1-2,Conn_Crimp,Molex,500798000,DigiKey,WM1142CT-ND,4
