Ref,Val,Package,PosX,PosY,Rot,Side
"R12","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",242.100128,-165.875000,90.000000,top
"R13","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",249.840128,-165.975000,90.000000,top
"R14","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",234.310128,-165.851200,90.000000,top
"R15","130R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",256.400000,-91.400000,0.000000,top
"R16","130R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",256.400000,-93.500000,0.000000,top
"R17","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.800000,-120.400000,-90.000000,top
"R18","16k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",179.400000,-120.300000,90.000000,top
"R19","51k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",177.200000,-120.300000,-90.000000,top
"R20","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.850000,-113.550000,180.000000,top
"R21","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.850000,-111.550000,180.000000,top
"R22","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.850000,-109.550000,180.000000,top
"R23","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.850000,-107.550000,180.000000,top
"R24","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.850000,-105.550000,180.000000,top
"R25","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",170.200000,-109.400000,90.000000,top
"R27","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",244.200000,-131.600000,90.000000,top
"R28","16k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",251.400000,-131.500000,-90.000000,top
"R29","51k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",253.500000,-131.500000,90.000000,top
"R30","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",242.800000,-138.300000,0.000000,top
"R31","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",242.800000,-140.300000,0.000000,top
