Ref,Val,Package,PosX,PosY,Rot,Side
"R26","0.1R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",174.187500,-113.700000,0.000000,bottom
"R36","0.1R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",256.650000,-138.125000,180.000000,bottom
"R47","0.1R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",170.812500,-113.700000,0.000000,bottom
"R48","0.05 R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",167.437500,-113.700000,0.000000,bottom
"R49","0.1R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",260.012500,-138.125000,180.000000,bottom
"R50","0.05 R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",263.387500,-138.125000,180.000000,bottom
