References,Value,Mfr,Mfr P/N,Supplier 1,Supplier 1 P/N,Quantity
"C1, C2",100 nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,DigiKey,1276-1003-1-ND,2
U1,BMI323,Bosch,BMI323,Digikey,828-BMI323CT-ND,1
J3,Conn_01x08_Pin,Molex,530480810,DigiKey,WM1748-ND,1
J3-1,Conn_01x08_RCPT,Molex,510210800,DigiKey,WM1726-ND,1
J3-2,Conn_Crimp,Molex,500798000,DigiKey,WM1142CT-ND,8
